semantic_name,aliases,category,calibration_scope,transferability,present_in_profiles,DJI Air 3 | value,DJI Air 3 | default,DJI Air 3 | min,DJI Air 3 | max,DJI Air 3S | value,DJI Air 3S | default,DJI Air 3S | min,DJI Air 3S | max,DJI Mini 4 Pro | value,DJI Mini 4 Pro | default,DJI Mini 4 Pro | min,DJI Mini 4 Pro | max,DJI Neo | value,DJI Neo | default,DJI Neo | min,DJI Neo | max,DJI Neo 2 | value,DJI Neo 2 | default,DJI Neo 2 | min,DJI Neo 2 | max,DJI Flip | value,DJI Flip | default,DJI Flip | min,DJI Flip | max,DJI Avata 360 | value,DJI Avata 360 | default,DJI Avata 360 | min,DJI Avata 360 | max,DJI Lito X1 | value,DJI Lito X1 | default,DJI Lito X1 | min,DJI Lito X1 | max
atti_limit_dec_by_vert_vel,atti_limit_dec_by_vert_vel,Flight modes & handling,,,2,,,,,,,,,,,,,5,5,0,50,5,5,0,50,,,,,,,,,,,,
atti_limit_dec_min_by_vert_vel,atti_limit_dec_min_by_vert_vel,Flight modes & handling,,,2,,,,,,,,,,,,,18,18,0,50,18,18,0,50,,,,,,,,,,,,
atti_normal_ffg_speed_ctrl_perc,atti_normal_ffg_speed_ctrl_perc,Other / opaque internal,,,8,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100
atti_tilt_comp_fc,atti_tilt_comp_fc,"Stabilization, gains & filters",,,8,7.5,7.5,0.01,150,7.5,7.5,0.01,150,10,10,0.01,150,3.8,3.8,0.01,150,3.8,3.8,0.01,150,10,10,0.01,150,3.8,3.8,0.01,150,10,10,0.01,150
atti_tilt_comp_gain,atti_tilt_comp_gain,"Stabilization, gains & filters",,,8,5,5,0.01,150,5,5,0.01,150,20,20,0.01,150,1.1,1.1,0.01,150,1.1,1.1,0.01,150,20,20,0.01,150,1.1,1.1,0.01,150,20,20,0.01,150
atti_tors_feedfwd_gain,atti_tors_feedfwd_gain,"Stabilization, gains & filters",,,8,1,1,0,2,1,1,0,2,1,1,0,2,1,1,0,2,0.7,0.7,0,2,1,1,0,2,1,1,0,2,0.7,0.7,0,2
attitude_rate_limit_mode,attitude_rate_limit_mode,Other / opaque internal,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,
auto_echo_function_open,auto_echo_function_open,Other / opaque internal,,,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
auto_rr_mode_can_trigger,auto_rr_mode_can_trigger,Flight modes & handling,,,3,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0,0,0,1,0,0,0,1
auto_tuning_comp_phase,auto_tuning_comp_phase,"Stabilization, gains & filters",,,4,,,,,,,,,,,,,,,,,70,70,0,89,70,70,0,89,70,70,0,89,70,70,0,89
auto_tuning_int_phase,auto_tuning_int_phase,"Stabilization, gains & filters",,,4,,,,,,,,,,,,,,,,,10,10,0,50,10,10,0,50,10,10,0,50,10,10,0,50
auto_tuning_lpf_fp_scale,auto_tuning_lpf_fp_scale,"Stabilization, gains & filters",,,4,,,,,,,,,,,,,,,,,8,8,0,100,8,8,0,100,8,8,0,100,8,8,0,100
auto_tuning_plant_phase,auto_tuning_plant_phase,"Stabilization, gains & filters",,,4,,,,,,,,,,,,,,,,,-160,-160,-180,0,-160,-160,-180,0,-160,-160,-180,0,-160,-160,-180,0
auto_tuning_tgt_fcross,auto_tuning_tgt_fcross,"Stabilization, gains & filters",,,4,,,,,,,,,,,,,,,,,100,100,1,100,100,100,1,100,100,100,1,100,100,100,1,100
av_cmd_lpf_ampx,av_cmd_lpf_ampx,"Stabilization, gains & filters",,,8,1,1,0,1000,1,1,0,1000,1,1,0,1000,4,4,0,1000,4,4,0,1000,1,1,0,1000,4,4,0,1000,1,1,0,1000
av_cmd_lpf_ampy,av_cmd_lpf_ampy,"Stabilization, gains & filters",,,8,1,1,0,1000,1,1,0,1000,1,1,0,1000,4,4,0,1000,4,4,0,1000,1,1,0,1000,4,4,0,1000,1,1,0,1000
av_cmd_lpf_ampz,av_cmd_lpf_ampz,"Stabilization, gains & filters",,,8,1,1,0,1000,1,1,0,1000,1,1,0,1000,4,4,0,1000,4,4,0,1000,1,1,0,1000,4,4,0,1000,1,1,0,1000
av_cmd_lpf_fnx,av_cmd_lpf_fnx,"Stabilization, gains & filters",,,8,180,180,0,1000,180,180,0,1000,180,180,0,1000,190,190,0,1000,190,190,0,1000,180,180,0,1000,190,190,0,1000,180,180,0,1000
av_cmd_lpf_fny,av_cmd_lpf_fny,"Stabilization, gains & filters",,,8,180,180,0,1000,180,180,0,1000,180,180,0,1000,190,190,0,1000,190,190,0,1000,180,180,0,1000,190,190,0,1000,180,180,0,1000
av_cmd_lpf_fnz,av_cmd_lpf_fnz,"Stabilization, gains & filters",,,8,48,48,0,1000,48,48,0,1000,48,48,0,1000,190,190,0,1000,190,190,0,1000,48,48,0,1000,190,190,0,1000,48,48,0,1000
av_cmd_notch_bwx,av_cmd_notch_bwx,"Stabilization, gains & filters",,,8,0.01,0.01,0,1000,0.01,0.01,0,1000,0.01,0.01,0,1000,0.02,0.02,0,1000,0.02,0.02,0,1000,0.01,0.01,0,1000,0.02,0.02,0,1000,0.01,0.01,0,1000
av_cmd_notch_bwy,av_cmd_notch_bwy,"Stabilization, gains & filters",,,8,0.01,0.01,0,1000,0.01,0.01,0,1000,0.01,0.01,0,1000,0.02,0.02,0,1000,0.02,0.02,0,1000,0.01,0.01,0,1000,0.02,0.02,0,1000,0.01,0.01,0,1000
av_cmd_notch_bwz,av_cmd_notch_bwz,"Stabilization, gains & filters",,,8,0.01,0.01,0,1000,0.01,0.01,0,1000,0.01,0.01,0,1000,0.02,0.02,0,1000,0.02,0.02,0,1000,0.01,0.01,0,1000,0.02,0.02,0,1000,0.01,0.01,0,1000
av_cmd_notch_fnx,av_cmd_notch_fnx,"Stabilization, gains & filters",,,8,180,180,0,1000,180,180,0,1000,180,180,0,1000,100,100,0,1000,100,100,0,1000,180,180,0,1000,100,100,0,1000,180,180,0,1000
av_cmd_notch_fny,av_cmd_notch_fny,"Stabilization, gains & filters",,,8,180,180,0,1000,180,180,0,1000,180,180,0,1000,100,100,0,1000,100,100,0,1000,180,180,0,1000,100,100,0,1000,180,180,0,1000
av_cmd_notch_fnz,av_cmd_notch_fnz,"Stabilization, gains & filters",,,8,50,50,0,1000,50,50,0,1000,50,50,0,1000,100,100,0,1000,100,100,0,1000,50,50,0,1000,100,100,0,1000,50,50,0,1000
av_cmd_notch_gnx,av_cmd_notch_gnx,"Stabilization, gains & filters",,,8,1,1,0,1000,1,1,0,1000,1,1,0,1000,0.6,0.6,0,1000,0.6,0.6,0,1000,1,1,0,1000,0.6,0.6,0,1000,1,1,0,1000
av_cmd_notch_gny,av_cmd_notch_gny,"Stabilization, gains & filters",,,8,1,1,0,1000,1,1,0,1000,1,1,0,1000,0.6,0.6,0,1000,0.6,0.6,0,1000,1,1,0,1000,0.6,0.6,0,1000,1,1,0,1000
av_cmd_notch_gnz,av_cmd_notch_gnz,"Stabilization, gains & filters",,,8,0.1,0.1,0,1000,0.1,0.1,0,1000,0.1,0.1,0,1000,0.6,0.6,0,1000,0.6,0.6,0,1000,0.1,0.1,0,1000,0.6,0.6,0,1000,0.1,0.1,0,1000
av_fdbk_lpf_ampx,av_fdbk_lpf_ampx,"Stabilization, gains & filters",,,8,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000
av_fdbk_lpf_ampy,av_fdbk_lpf_ampy,"Stabilization, gains & filters",,,8,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000
av_fdbk_lpf_ampz,av_fdbk_lpf_ampz,"Stabilization, gains & filters",,,8,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000,1,1,0,1000
